cell_id,pred_cell_type
aafkdhol-1,B cells
aafkekoo-1,Endothelial Cells
aaflephh-1,Endothelial Cells
aaflmced-1,Smooth Muscle Cells (and/or Myofibroblasts)
aafoikan-1,Cytotoxic/NK-like T cells
aagaeelh-1,Endothelial Cells
aagbfnfc-1,CD14+ Monocytes / Macrophages
aagccbbd-1,CD4+ T cells (naive/central memory)
aagcdfdm-1,Natural Killer (NK) cells
aagcfhpk-1,CD8+ Cytotoxic T cells
aagepmoo-1,Cytotoxic/NK-like T cells
aaggdmic-1,Plasma Cells (differentiated B cells)
aagggaei-1,Macrophages (possibly FCGR1A+ subset)
aaghlcjk-1,Cytotoxic/NK-like T cells
aagiipca-1,Cytotoxic/NK-like T cells
aagjifga-1,CD4+ T cells (naive/central memory)
aagmelhl-1,Possible Mast Cells / Neuroendocrine-like
aagmmkmp-1,Cytotoxic/NK-like T cells
aagoadgk-1,CD8+ Cytotoxic T cells
aagpcilo-1,CD4+ T cells (naive/central memory)
aagpkagb-1,B cells
aahaniom-1,Natural Killer (NK) cells
aahcdgel-1,B cells
aahclach-1,Fibroblasts (Stromal cells)
aahcofdp-1,Tumor (Epithelial) Cells - Papillary Renal Cell Carcinoma
aahdecke-1,Cytotoxic/NK-like T cells
aahdhami-1,Macrophages
aahdiiim-1,CD4+ T cells (naive/central memory)
aahdpafe-1,Fibroblasts (Stromal cells)
aahedlmn-1,CD4+ T cells (naive/central memory)
aaheonce-1,Fibroblasts (Stromal cells)
aahfaebj-1,Fibroblasts (Stromal cells)
aahfeeoh-1,CD14+ Monocytes / Macrophages
aahhjdbd-1,CD8+ Cytotoxic T cells
aahhpjef-1,CD8+ Cytotoxic T cells
aahilidf-1,CD8+ Cytotoxic T cells
aahjehpn-1,B cells
aahkgahp-1,Cytotoxic/NK-like T cells
aahkjgfp-1,Fibroblasts (Stromal cells)
aahoaodl-1,Fibroblasts (Stromal cells)
aahopkem-1,Endothelial Cells
aahpclhf-1,Fibroblasts (Stromal cells)
aahpdiei-1,Cytotoxic/NK-like T cells
aaibafcn-1,Endothelial Cells
aaibbmgk-1,Fibroblasts (Stromal cells)
aaibhhka-1,CD8+ Effector T cells (GZMK+ subset)
aaibknce-1,CD8+ Cytotoxic T cells
aaiblmkh-1,Endothelial Cells
aaicaglf-1,Tumor (Epithelial) Cells - Papillary Renal Cell Carcinoma
aaiceida-1,Fibroblasts (Stromal cells)
aaicgpla-1,Fibroblasts (Stromal cells)
aaiciaog-1,CD8+ Cytotoxic T cells
aaicmeoh-1,Tumor (Epithelial) Cells - Papillary Renal Cell Carcinoma
aaiececn-1,Endothelial Cells
aaiepdba-1,Endothelial Cells
aaiepfag-1,Anti-inflammatory Macrophages (M2-like)
aaifefjn-1,Smooth Muscle Cells (and/or Myofibroblasts)
aaihggen-1,B cells
aaiifdph-1,Possible Mast Cells / Neuroendocrine-like
aaikpfbn-1,Fibroblasts (Stromal cells)
aailffgp-1,Endothelial Cells
aaimkbej-1,Macrophages
aainahlk-1,Endothelial Cells
aainapmd-1,Fibroblasts (Stromal cells)
aaiojnhn-1,Endothelial Cells
aaipheea-1,Natural Killer (NK) cells
aajamfbb-1,CD8+ Cytotoxic T cells
aajbcacm-1,CD4+ T cells (naive/central memory)
aajcamhk-1,CD8+ Cytotoxic T cells
aajfknnb-1,Tumor (Epithelial) Cells - Papillary Renal Cell Carcinoma
aajggabo-1,Smooth Muscle Cells (and/or Myofibroblasts)
aajgpimf-1,Fibroblasts (Stromal cells)
aajhkaml-1,B cells
aajhlged-1,Endothelial Cells
aajicnec-1,Tumor (Epithelial) Cells - Papillary Renal Cell Carcinoma
aajkigbf-1,Plasma Cells (differentiated B cells)
aajlemdb-1,Anti-inflammatory Macrophages (M2-like)
aajlimgh-1,CD4+ T cells (naive/central memory)
aajnebdi-1,CD4+ T cells (naive/central memory)
aajnemim-1,Macrophages
aakbepae-1,Fibroblasts / Myofibroblasts (Stromal cells)
aakbiami-1,Possible Mast Cells / Neuroendocrine-like
aakbibgl-1,Cytotoxic/NK-like T cells
aakenfdb-1,Fibroblasts (Stromal cells)
aakhadhl-1,Natural Killer (NK) cells
aakibmkj-1,CD4+ T cells (naive/central memory)
aakicgcb-1,Cytotoxic/NK-like T cells
aakjajob-1,CD4+ T cells (naive/central memory)
aakmcene-1,Fibroblasts (Stromal cells)
aakmfnaj-1,Fibroblasts (Stromal cells)
aakmgbih-1,CD4+ T cells (naive/central memory)
aaknffpi-1,Smooth Muscle Cells
aakpapoo-1,Fibroblasts (Stromal cells)
aalcdjcp-1,Fibroblasts (Stromal cells)
aalcfkeg-1,Anti-inflammatory Macrophages (M2-like)
aalcojoe-1,Smooth Muscle Cells (and/or Myofibroblasts)
aalegigh-1,Fibroblasts (Stromal cells)
aalfdlfl-1,CD4+ T cells (naive/central memory)
aalleojd-1,CD4+ T cells (naive/central memory)
aalmamho-1,Naive/Central Memory T cells
aaloahgc-1,B cells
aalogcgm-1,B cells
aalpkppd-1,CD4+ T cells (naive/central memory)
aamapnbk-1,Natural Killer (NK) cells
aamdopni-1,Fibroblasts (Stromal cells)
aamfgbdo-1,CD4+ T cells (naive/central memory)
aamgmgfi-1,CD8+ Cytotoxic T cells
aamgphmm-1,CD8+ Cytotoxic T cells
aamhifjl-1,CD4+ T cells (naive/central memory)
aamijkln-1,Anti-inflammatory Macrophages (M2-like)
aamjllhl-1,Fibroblasts (Stromal cells)
aamkggag-1,Fibroblasts (Stromal cells)
aamkjjkc-1,Smooth Muscle Cells (and/or Myofibroblasts)
aamllcko-1,Possible Mast Cells / Neuroendocrine-like
aanbbcal-1,CD4+ T cells (naive/central memory)
aancpgpo-1,CD4+ T cells (naive/central memory)
aandgidp-1,Fibroblasts (Stromal cells)
aanfpgam-1,Naive/Central Memory T cells
aanlhbde-1,Fibroblasts (Stromal cells)
aanlmabj-1,Macrophages (possibly FCGR1A+ subset)
aanmhfld-1,CD4+ T cells (naive/central memory)
aanmjfbj-1,Fibroblasts (Stromal cells)
aannkklj-1,Smooth Muscle Cells (and/or Myofibroblasts)
aanognbb-1,Smooth Muscle Cells
aanophph-1,Natural Killer (NK) cells
aanpokoh-1,CD4+ T cells (naive/central memory)
aaobmdbd-1,CD4+ T cells (naive/central memory)
aaoboblo-1,Fibroblasts (Stromal cells)
aaochpgl-1,Natural Killer (NK) cells
aaoddbgm-1,Fibroblasts (Stromal cells)
aaoedbca-1,Smooth Muscle Cells (and/or Myofibroblasts)
aaoefbgg-1,Endothelial Cells
aaofcfee-1,Endothelial Cells
aaoflpmm-1,CD4+ T cells (naive/central memory)
aaoifkha-1,Endothelial Cells
aaokijmi-1,Possible Mast Cells / Neuroendocrine-like
aaokkcfh-1,Smooth Muscle Cells (and/or Myofibroblasts)
aaolmech-1,Endothelial Cells
aaolokab-1,Endothelial Cells
aaopblae-1,Endothelial Cells
aapbnlga-1,CD4+ T cells (naive/central memory)
aapdbmff-1,Endothelial Cells
aapebbhb-1,CD4+ T cells (naive/central memory)
aapebokc-1,Smooth Muscle Cells (and/or Myofibroblasts)
aapffebg-1,Endothelial Cells
aapgdefj-1,Endothelial Cells
aapgnppb-1,Smooth Muscle Cells (and/or Myofibroblasts)
aapidkag-1,Endothelial Cells
aapiobcj-1,Endothelial Cells
aapipejn-1,Cytotoxic/NK-like T cells
aapjlcad-1,B cells
aapjodci-1,Anti-inflammatory Macrophages (M2-like)
aapklnka-1,Cytotoxic/NK-like T cells
aapmajge-1,Anti-inflammatory Macrophages (M2-like)
aapneohb-1,Endothelial Cells
aapnlkhg-1,Endothelial Cells
aapopagi-1,Smooth Muscle Cells (and/or Myofibroblasts)
aappdgif-1,Endothelial Cells
aappenif-1,Endothelial Cells
abadafmj-1,Smooth Muscle Cells (and/or Myofibroblasts)
abadjohn-1,Endothelial Cells
abagbjah-1,Endothelial Cells
abaijaci-1,Endothelial Cells
abaimdjh-1,Smooth Muscle Cells
abajenpd-1,Macrophages (possibly FCGR1A+ subset)
abamajlg-1,CD4+ T cells (naive/central memory)
abaoigga-1,Naive/Central Memory T cells
abapbdcf-1,CD4+ T cells (naive/central memory)
abapblgd-1,CD8+ Cytotoxic T cells
abapoakc-1,CD4+ T cells (naive/central memory)
abbaiamb-1,Fibroblasts (Stromal cells)
abbamhpg-1,Fibroblasts (Stromal cells)
abbbhcli-1,Fibroblasts / Myofibroblasts (Stromal cells)
abbcgmja-1,Fibroblasts (Stromal cells)
abbcodnm-1,Plasma Cells (differentiated B cells)
abbfjkai-1,CD8+ Cytotoxic T cells
abbhafhe-1,Fibroblasts (Stromal cells)
abbnfkid-1,CD14+ Monocytes / Macrophages
abbofnpi-1,CD4+ T cells (naive/central memory)
abbpafmj-1,CD8+ Cytotoxic T cells
abcekgam-1,CD4+ T cells (naive/central memory)
abcfooeo-1,Smooth Muscle Cells (and/or Myofibroblasts)
abchgabk-1,Fibroblasts / Myofibroblasts (Stromal cells)
abcjgeni-1,Smooth Muscle Cells (and/or Myofibroblasts)
abcjkdbp-1,Fibroblasts (Stromal cells)
abcmpoje-1,Smooth Muscle Cells (and/or Myofibroblasts)
abcnamcp-1,Fibroblasts (Stromal cells)
abcokhjb-1,Smooth Muscle Cells
abcoogln-1,CD4+ T cells (naive/central memory)
abcookhj-1,Fibroblasts (Stromal cells)
abcpcilo-1,Plasma Cells (differentiated B cells)
abdapgkm-1,Smooth Muscle Cells (and/or Myofibroblasts)
abdbojbk-1,Possible Mast Cells / Neuroendocrine-like
abdcomgm-1,Anti-inflammatory Macrophages (M2-like)
abdcpbic-1,Fibroblasts (Stromal cells)
abdehkoj-1,Fibroblasts (Stromal cells)
abdephnb-1,Fibroblasts (Stromal cells)
abdfmpdc-1,B cells
abdfoich-1,Macrophages
abdhidab-1,Fibroblasts (Stromal cells)
abdhihoc-1,Fibroblasts (Stromal cells)
abdkjfoo-1,Fibroblasts (Stromal cells)
abdkonpj-1,CD4+ T cells (naive/central memory)
abdkoolm-1,Naive/Central Memory T cells
abdlclnk-1,Smooth Muscle Cells
abdlggdf-1,Fibroblasts (Stromal cells)
abdmdpnb-1,Anti-inflammatory Macrophages (M2-like)
abdnajap-1,Cytotoxic/NK-like T cells
abdnmggp-1,Fibroblasts (Stromal cells)
abdoagno-1,Fibroblasts (Stromal cells)
abdoegel-1,Fibroblasts (Stromal cells)
abdoejdj-1,Anti-inflammatory Macrophages (M2-like)
abdojdgb-1,Smooth Muscle Cells (and/or Myofibroblasts)
abdpgilh-1,Smooth Muscle Cells
abeafian-1,B cells
abeakfkc-1,CD4+ T cells (naive/central memory)
abeaohjc-1,Fibroblasts (Stromal cells)
abebhggg-1,Fibroblasts (Stromal cells)
abebljfm-1,CD4+ T cells (naive/central memory)
abebonkl-1,Fibroblasts (Stromal cells)
abecmnpb-1,Fibroblasts (Stromal cells)
abedeidc-1,Smooth Muscle Cells (and/or Myofibroblasts)
abeecjde-1,CD8+ Cytotoxic T cells
abefjdei-1,Fibroblasts / Myofibroblasts (Stromal cells)
abegjdhc-1,Smooth Muscle Cells (and/or Myofibroblasts)
abehajjh-1,Anti-inflammatory Macrophages (M2-like)
abehllmc-1,Smooth Muscle Cells
abehpfbh-1,Fibroblasts (Stromal cells)
abeioeic-1,CD8+ Cytotoxic T cells
abejnpbg-1,CD4+ T cells (naive/central memory)
abejogkk-1,Macrophages
abeklolp-1,CD14+ Monocytes / Macrophages
abekoiio-1,CD4+ T cells (naive/central memory)
abeocaji-1,CD4+ T cells (naive/central memory)
abepepke-1,B cells
abepfimb-1,Cytotoxic/NK-like T cells
abepnkpe-1,Naive/Central Memory T cells
abeppjkk-1,CD4+ T cells (naive/central memory)
abfcdhop-1,Smooth Muscle Cells (and/or Myofibroblasts)
abfcgmlc-1,CD4+ T cells (naive/central memory)
abfgankd-1,CD4+ T cells (naive/central memory)
abfgnoha-1,Smooth Muscle Cells (and/or Myofibroblasts)
abfklfjf-1,CD4+ T cells (naive/central memory)
abflbdcb-1,Fibroblasts (Stromal cells)
abfmdilj-1,Endothelial Cells
abfnblim-1,Fibroblasts (Stromal cells)
abfnnaac-1,CD4+ T cells (naive/central memory)
abfodfgg-1,Cytotoxic/NK-like T cells
abfogcnd-1,Possible Mast Cells / Neuroendocrine-like
abfpjehj-1,B cells
abfplhba-1,Possible Mast Cells / Neuroendocrine-like
abgaomch-1,Naive/Central Memory T cells
abgbcjmo-1,Cytotoxic/NK-like T cells
abgbeogp-1,Possible Mast Cells / Neuroendocrine-like
abgccpod-1,Fibroblasts (Stromal cells)
abgclmhi-1,Fibroblasts (Stromal cells)
abgeiffh-1,Fibroblasts (Stromal cells)
abgfcomm-1,Fibroblasts (Stromal cells)
abggllbd-1,Smooth Muscle Cells (and/or Myofibroblasts)
abghlgee-1,Fibroblasts / Myofibroblasts (Stromal cells)
abgmagng-1,Smooth Muscle Cells (and/or Myofibroblasts)
abgnpmei-1,Anti-inflammatory Macrophages (M2-like)
abgofobd-1,Anti-inflammatory Macrophages (M2-like)
abgpaaab-1,Fibroblasts / Myofibroblasts (Stromal cells)
abgplfmk-1,Fibroblasts (Stromal cells)
abhcchbi-1,CD4+ T cells (naive/central memory)
abhdejnp-1,Cytotoxic/NK-like T cells
abhdgnig-1,Macrophages (possibly FCGR1A+ subset)
abhealil-1,Tumor (Epithelial) Cells - Papillary Renal Cell Carcinoma
abhglfjp-1,Macrophages
abhihbco-1,Tumor (Epithelial) Cells - Papillary Renal Cell Carcinoma
abhjbnck-1,CD8+ Cytotoxic T cells
abhjngno-1,CD8+ Cytotoxic T cells
abhmcibb-1,CD8+ Cytotoxic T cells
abhoognn-1,CD8+ Cytotoxic T cells
abhppcch-1,CD8+ Cytotoxic T cells
abicmkoc-1,CD8+ Cytotoxic T cells
abicmpcm-1,CD8+ Cytotoxic T cells
abidfbmd-1,CD8+ Cytotoxic T cells
abidpobn-1,CD8+ Cytotoxic T cells
abiichio-1,Cytotoxic/NK-like T cells
abiijfcf-1,CD8+ Cytotoxic T cells
abijbagj-1,CD8+ Cytotoxic T cells
abijndld-1,Macrophages (possibly FCGR1A+ subset)
abijnpif-1,CD8+ Cytotoxic T cells
abijpjig-1,CD8+ Cytotoxic T cells
abimnckf-1,CD8+ Cytotoxic T cells
abipcabf-1,B cells
abjakemh-1,CD14+ Monocytes / Macrophages
abjdcklc-1,CD8+ Cytotoxic T cells
abjdgnpd-1,CD8+ Cytotoxic T cells
abjejdie-1,CD14+ Monocytes / Macrophages
abjffbjj-1,Macrophages
abjfjjgl-1,CD8+ Cytotoxic T cells
abjgoepg-1,CD8+ Cytotoxic T cells
abjheccl-1,CD14+ Monocytes / Macrophages
abjjcgip-1,CD8+ Cytotoxic T cells
abjllfbl-1,CD8+ Cytotoxic T cells
abjnbbnf-1,CD8+ Cytotoxic T cells
abjndoce-1,Cytotoxic/NK-like T cells
abjpgibd-1,CD14+ Monocytes / Macrophages
abjpgoma-1,CD14+ Monocytes / Macrophages
abjpkgad-1,CD14+ Monocytes / Macrophages
abjpllpc-1,CD8+ Cytotoxic T cells
abkcaffb-1,CD8+ Cytotoxic T cells
abkebljd-1,CD8+ Cytotoxic T cells
abkfhkhc-1,Macrophages
abkfjgjn-1,Monocytes (classical CD14+)
abkgpkdo-1,CD8+ Cytotoxic T cells
abkhjcpn-1,CD8+ Cytotoxic T cells
abkjpnim-1,CD8+ Cytotoxic T cells
abkmpaea-1,CD14+ Monocytes / Macrophages
abknibie-1,CD4+ T cells (naive/central memory)
abkpnmhb-1,CD14+ Monocytes / Macrophages
abkpodkk-1,CD8+ Cytotoxic T cells
ablbcffp-1,CD14+ Monocytes / Macrophages
ablbhdfb-1,CD14+ Monocytes / Macrophages
ablchafo-1,CD14+ Monocytes / Macrophages
ablddadh-1,Macrophages (possibly FCGR1A+ subset)
ableoihb-1,CD14+ Monocytes / Macrophages
ablfeffl-1,Macrophages (possibly FCGR1A+ subset)
ablfljkl-1,Macrophages
ablgfhcf-1,Cytotoxic/NK-like T cells
ablgpijp-1,CD14+ Monocytes / Macrophages
ablhchhc-1,CD14+ Monocytes / Macrophages
ablhinoh-1,Macrophages
ablhjhlj-1,CD14+ Monocytes / Macrophages
abljbclk-1,CD14+ Monocytes / Macrophages
abljdmhh-1,CD8+ Cytotoxic T cells
abllfpob-1,Macrophages (possibly FCGR1A+ subset)
ablmbfhj-1,CD8+ Cytotoxic T cells
ablmleeg-1,Macrophages
ablmnpcc-1,Possible Mast Cells / Neuroendocrine-like
abmajodb-1,CD4+ T cells (naive/central memory)
abmanfgn-1,Cytotoxic/NK-like T cells
abmapmob-1,CD8+ Cytotoxic T cells
abmcddpf-1,Cytotoxic/NK-like T cells
abmddfkp-1,B cells
abmdlpkg-1,CD14+ Monocytes / Macrophages
abmelnlg-1,CD8+ Cytotoxic T cells
abmhcifc-1,Macrophages
abmiolph-1,Macrophages (possibly FCGR1A+ subset)
abmkbipf-1,Macrophages
abmkmfmp-1,B cells
abmlafjl-1,Cytotoxic/NK-like T cells
abmlnlna-1,CD14+ Monocytes / Macrophages
abmmpmei-1,B cells
abmpfkld-1,Possible Mast Cells / Neuroendocrine-like
abnadgjf-1,Macrophages
abnalkhm-1,CD8+ Cytotoxic T cells
abnbijdm-1,Macrophages (possibly FCGR1A+ subset)
abndhcfe-1,B cells
abneapom-1,CD8+ Cytotoxic T cells
abneleia-1,Macrophages
abnhpkkc-1,Cytotoxic/NK-like T cells
abniaacd-1,CD14+ Monocytes / Macrophages
abnibmfh-1,B cells
abnighlf-1,CD14+ Monocytes / Macrophages
abniibhi-1,CD14+ Monocytes / Macrophages
abniklin-1,CD8+ Cytotoxic T cells
abnjccho-1,CD14+ Monocytes / Macrophages
abnnefmk-1,CD8+ Cytotoxic T cells
abnngjla-1,CD8+ Effector T cells (GZMK+ subset)
abnnldmc-1,Macrophages
abnobahg-1,CD8+ Cytotoxic T cells
abnpaege-1,Macrophages
abnpiodn-1,CD8+ Effector T cells (GZMK+ subset)
aboaindp-1,CD8+ Cytotoxic T cells
abobolnm-1,CD14+ Monocytes / Macrophages
aboedfbg-1,CD14+ Monocytes / Macrophages
aboeodoj-1,CD14+ Monocytes / Macrophages
abojofjn-1,Macrophages (possibly FCGR1A+ subset)
aboknmjm-1,CD14+ Monocytes / Macrophages
abokoabi-1,CD14+ Monocytes / Macrophages
abolhacd-1,Macrophages (possibly FCGR1A+ subset)
abolohjn-1,CD8+ Cytotoxic T cells
aboodaca-1,CD14+ Monocytes / Macrophages
aboohicm-1,CD14+ Monocytes / Macrophages
abopcljl-1,Tumor (Epithelial) Cells - Papillary Renal Cell Carcinoma
abpagfol-1,CD14+ Monocytes / Macrophages
abpbgell-1,CD8+ Cytotoxic T cells
abpfaifp-1,CD14+ Monocytes / Macrophages
abpfflna-1,CD14+ Monocytes / Macrophages
abpgljba-1,CD14+ Monocytes / Macrophages
abpihfdp-1,B cells
abpjpjdm-1,CD14+ Monocytes / Macrophages
abpngohb-1,CD14+ Monocytes / Macrophages
abpnlgfn-1,CD8+ Cytotoxic T cells
abpnndip-1,Macrophages
acabffii-1,CD14+ Monocytes / Macrophages
acabghmp-1,CD14+ Monocytes / Macrophages
acabmaac-1,CD14+ Monocytes / Macrophages
acacjcgi-1,CD14+ Monocytes / Macrophages
acaddbil-1,CD14+ Monocytes / Macrophages
acafalcn-1,Macrophages
acafkhfk-1,CD8+ Cytotoxic T cells
acaiecbe-1,CD8+ Cytotoxic T cells
acakgbcj-1,Natural Killer (NK) cells
acamdgoh-1,CD14+ Monocytes / Macrophages
acamiapn-1,Macrophages
acamjbff-1,Macrophages (possibly FCGR1A+ subset)
acancahh-1,Macrophages (possibly FCGR1A+ subset)
acaofdga-1,CD14+ Monocytes / Macrophages
acaphffj-1,Macrophages
acbahifk-1,CD14+ Monocytes / Macrophages
acbdmfji-1,Macrophages
acbfaofo-1,Possible Mast Cells / Neuroendocrine-like
acbicfog-1,Tumor (Epithelial) Cells - Papillary Renal Cell Carcinoma
acbjinfc-1,Macrophages
acbkagbm-1,CD8+ Cytotoxic T cells
acbkallk-1,CD8+ Cytotoxic T cells
acbkihpb-1,CD14+ Monocytes / Macrophages
acbkjmpa-1,Macrophages
acbmilfe-1,B cells
acbpajga-1,CD8+ Cytotoxic T cells
acbplfli-1,CD14+ Monocytes / Macrophages
accbbfhb-1,CD14+ Monocytes / Macrophages
accbepdj-1,CD14+ Monocytes / Macrophages
acccjima-1,CD14+ Monocytes / Macrophages
accdigfk-1,CD8+ Cytotoxic T cells
accdihfk-1,Macrophages
accdipap-1,B cells
accenpem-1,B cells
acceoagn-1,CD14+ Monocytes / Macrophages
accgaipi-1,CD14+ Monocytes / Macrophages
accgchle-1,Macrophages (possibly FCGR1A+ subset)
accgiehd-1,Macrophages (possibly FCGR1A+ subset)
accjfmka-1,Macrophages (possibly FCGR1A+ subset)
acckiden-1,Macrophages (possibly FCGR1A+ subset)
accoaohg-1,Possible Mast Cells / Neuroendocrine-like
accocipj-1,Possible Mast Cells / Neuroendocrine-like
accpnkbk-1,Possible Mast Cells / Neuroendocrine-like
acdcckii-1,Macrophages (possibly FCGR1A+ subset)
acddaefi-1,Possible Mast Cells / Neuroendocrine-like
acdekhmm-1,Macrophages (possibly FCGR1A+ subset)
acdfndfb-1,Possible Mast Cells / Neuroendocrine-like
acdgbopb-1,Possible Mast Cells / Neuroendocrine-like
acdhkjki-1,Macrophages (possibly FCGR1A+ subset)
acdjdjbb-1,Possible Mast Cells / Neuroendocrine-like
acdmijgk-1,Possible Mast Cells / Neuroendocrine-like
acdmnkik-1,Macrophages (possibly FCGR1A+ subset)
acdpbphj-1,Macrophages (possibly FCGR1A+ subset)
aceaanme-1,Cytotoxic/NK-like T cells
acebobpo-1,Macrophages (possibly FCGR1A+ subset)
acecblma-1,Possible Mast Cells / Neuroendocrine-like
acegfche-1,Macrophages (possibly FCGR1A+ subset)
aceghpei-1,Macrophages (possibly FCGR1A+ subset)
aceidbem-1,B cells
acekboca-1,Cytotoxic/NK-like T cells
acekidfj-1,Possible Mast Cells / Neuroendocrine-like
acempmjh-1,Possible Mast Cells / Neuroendocrine-like
aceocpjf-1,Macrophages (possibly FCGR1A+ subset)
acepoaci-1,Possible Mast Cells / Neuroendocrine-like
acfacegh-1,Naive/Central Memory T cells
acfbfeib-1,Possible Mast Cells / Neuroendocrine-like
acfccjjk-1,Possible Mast Cells / Neuroendocrine-like
acfdifjd-1,Possible Mast Cells / Neuroendocrine-like
acfecamm-1,Possible Mast Cells / Neuroendocrine-like
acfefdnl-1,Possible Mast Cells / Neuroendocrine-like
acfhjlma-1,Possible Mast Cells / Neuroendocrine-like
acfjhadb-1,Possible Mast Cells / Neuroendocrine-like
acfkcpai-1,Macrophages (possibly FCGR1A+ subset)
